source_id,solution_id,ra,dec,wavelength,flux,flux_error,combined_transits,combined_ccds,deblended_ccds
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.0,,,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.01,,,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.02,,,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.03,,,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.04,,,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.05,,,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.06,1.0039793,0.010464761,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.07,0.9858109,0.012110846,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.08,1.0038176,0.008786687,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.09,1.0059414,0.0055336114,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.1,1.0044729,0.0052809976,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.11,1.0026096,0.0063913753,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.12,1.0027568,0.006892701,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.13,0.998937,0.006373429,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.14,1.0027939,0.0061631165,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.15,1.0087123,0.0059126187,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.16,1.0124654,0.0051651215,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.17,1.0105895,0.005652635,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.18,1.0022964,0.006643784,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.19,0.9949094,0.00591044,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.2,0.99282247,0.0055326615,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.21,0.99656403,0.0058949552,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.22,0.9991093,0.005918147,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.23,0.9992431,0.00609035,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.24,0.9968041,0.0061024986,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.25,0.9979355,0.007325949,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.26,1.0042905,0.005661069,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.27,1.0038091,0.005288306,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.28,0.99828064,0.006331353,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.29,0.9993015,0.0055257934,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.3,1.0041232,0.0059569096,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.31,1.0090537,0.006211279,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.32,1.009339,0.0068272087,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.33,1.0054771,0.0079693,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.34,1.0042703,0.007337687,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.35,1.004246,0.0066447477,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.36,1.008521,0.0063997926,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.37,1.0110614,0.0070142616,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.38,1.0088391,0.0063550975,16,38,10
2128215909315876352,5950420259779346465,293.6792067907989,46.85273282508356,846.39,1.0084093,0.0058296816,16,38,10
