,apogee_id,source_id,delta_chisq,f_imp,training_density1,training_density2,q_cannon,rv1_cannon,rv2_cannon,rvs_spec_sig_to_noise,radial_velocity_error,rv_nb_transits,single_fit_chisq,single_fit_training_density,single_fit_ca_resid,eq_width_849.8nm,eq_width_854.2nm,eq_width_866.2nm
0,2M13195060+1403129,3742981333229406464,32.45777762199168,0.08341682279365786,0.00020724443059435418,0.0010282139626021831,0.8438878583902687,2.6385734162773873,-5.538132023424335,91.137184,0.2678229,20,1882.8960917543718,0.0010832116789144875,522.0284485929309,-0.0017456932051417079,0.001996294400088798,-0.0009218672828624668
1,2M10580113+1116253,3871438410573009024,48.066702463431284,0.1071027497600847,0.0021945164015935953,5.258583216759271e-06,0.7026200978925324,-1.1193664532671515,2.0648974967319336,73.4114,0.36772412,13,2204.166433712803,0.0025527663522733747,477.23884822338584,-0.0021957764686413774,-0.011637623367596462,-0.004790784548158404
2,2M19454595+4959188,2135275740337869056,3.8726320843111353,0.04127172655283565,0.00039329239513206184,0.001161187731907917,0.979916238152041,-0.20758890066519103,-0.001492656818223048,150.635,0.18670028,17,2118.448818392675,0.001793890159744836,2137.6680588830995,0.0013040137753703171,0.0019253449621243993,0.0044471416567332216
3,2M03431248+3051065,216274422516951040,51.766629042510885,0.14615262903230838,0.00013251705043344994,1.0001447892688041e-07,0.644714320650875,-0.6250683065734793,0.1989474579138814,65.65429,0.5392341,14,2368.459993206196,0.00021355277983336582,530.8100461282453,-0.008283422906791918,-0.015227445613455216,-0.007798284793924215
4,2M11173763+5242045,839728576668869760,11.31199389135736,0.014169410651553187,0.0016141505988124625,0.000356402656008028,0.9053860966605447,-0.5663042916937149,0.6766212857135152,139.36436,0.21561068,37,2028.3939827827855,0.0016948154533630254,345.2159690359489,-0.0002911645538803191,-0.003046401153938805,-0.0031235502490429136
5,2M10510335+4411553,782584895788385408,25.499765170937053,0.10291454834414711,0.001090679880326811,0.00045796629504115766,0.771226620508632,0.7654481696238994,-1.3881357807551962,148.30215,0.22526504,29,1937.2668030454759,0.0021371199243426643,607.1732712878897,0.0020358382509084345,0.003022924957793458,0.000165281313123743
6,2M13390359-1704596,3603636445070066176,73.43753546919152,0.09000477812121771,0.0003664601547601318,0.00016035947648110243,0.9799643991888496,-9.448131498836016,15.67961774467254,73.38693,1.2176833,12,2390.305910888324,0.00046733440606844744,562.2416362108379,0.013986466286675986,0.008435065563356792,0.008232872271780552
7,2M15255356+4211349,1390887058156224384,6.417742814198846,0.05947243126158705,0.0016197513807435246,0.001314340211533532,0.8999365064791129,-0.10045884510853356,-0.20662416079719978,210.7684,0.15939522,21,1903.3045097202257,0.0018171472232766214,2342.3902917750665,-0.0029682259188890626,-0.00780980435235908,-0.005918842977870681
8,2M12185691+4015017,1533280033064437376,38.20222590383514,0.0893228302582768,0.00018066479154557047,3.749195037883186e-05,0.9671814258847646,3.3144880967468895,-1.1090680282207874,89.92552,0.250673,30,2006.9912874367058,0.0020532595189885487,460.9607250976206,-0.008103503983692362,-0.0017053655465613814,-0.006624288400700746
9,2M01542313-0340419,2504222467670427264,46.4433365930322,0.05582240123338838,5.124864313657976e-06,1.6150474755037254e-06,0.9383156450089806,-6.138865917080359,4.041476354207136,76.01138,0.56495154,12,2256.9591746423785,0.00017109017911087713,411.2300760602078,-0.0032531847456349697,-0.0024884758668803886,-0.00536730108134915
10,2M13333747+3736211,1475190806546274944,37.72929659070451,0.024237894028251713,0.00019527814598828123,4.861681545052997e-06,0.7255027979930526,1.2501271559174374,0.003936964588811164,56.61311,0.82134116,38,2312.583138330937,4.6826165158820155e-05,650.1468466238379,-0.011384424069929103,-0.01902721424874483,-0.009052738285763614
11,2M09282685+2849494,696935998002494848,47.93624065465383,0.12126649897042546,0.0010232180126174626,4.496032496693755e-05,0.7207153728501474,-0.25513322381726483,-0.8429804701812605,71.9299,0.31133726,19,2038.40240314204,0.0002677488507651975,309.75873477419793,-8.838292638708646e-05,0.0016915672796005451,-0.002705082526526328
12,2M10342335+2336571,723976734139702016,21.250932171060413,0.04838015569574833,7.725682630971704e-05,0.0004568464520020081,0.9983962237929419,-3.120799292706686,4.429227751998526,62.290653,0.4092512,13,2155.129518395809,0.0008166757131955569,449.3097573219176,0.0001191672237456465,-0.010447082097620453,-0.005685820800772156
13,2M14525573+3709414,1294418381836458496,40.46651495153537,0.09711766133603228,0.0018199808468377144,0.00028236659071581224,0.6513994906191006,1.19132521677175,-5.0084021086295945,67.18618,0.46842477,26,2177.2816039693566,0.0018035453785581591,535.9874532003491,-0.010434689682791298,-0.01314683131875857,-0.006246401865315762
14,2M13203131+1214556,3739496190607267072,6.629053562009858,0.046491930832412265,0.002715377247111679,0.0011424258830619145,0.8492884817245618,0.5458913470782162,-1.0843566868074954,172.96355,0.18113887,22,1901.8301140748185,0.0023194085816186424,348.5208528466573,-0.0013162925916658176,0.0009079296138565718,0.0015464218124351932
15,2M01242176+1725488,2593402683272910592,21.226560743024038,0.07981609626625717,2.813581557091057e-06,1.0000086219879649e-07,0.8496358324357014,2.170850724391817,-0.7702361719582851,59.4257,0.4435006,22,2186.02519312527,4.095693556479623e-06,414.7832695255647,-0.009610087437681136,-0.003634361916133724,-0.00010912084942918109
16,2M12224965+2447323,4008207142989326208,57.80953709495088,0.10581555690172095,0.0020071192112863824,1.5388948817970832e-06,0.6313146038673684,-0.8167173657407105,6.43188389955926,78.418365,0.3358563,17,2098.577624029501,0.0014250077254786774,329.4163777970763,-0.0004316033192837708,-0.0027157008702949847,-0.0020353704058773438
17,2M12504184+1241127,3928229835416261248,5.56732150411176,0.02225480740014693,0.0010751360135104369,0.0005138074022394127,0.9349703226157786,-0.0017056769347616922,-0.376223721043552,141.65967,0.31182614,24,1884.9531393366528,0.0011780151044419346,778.7914546568907,-0.0029471973181284298,-0.005460354327008386,-0.006995654420813859
18,2M03121445+6055338,463016926421115520,12325.47405707842,0.6004223827068532,4.318830087698373e-06,1.0000074635451415e-07,0.9906602495784793,0.484337099212671,-0.7401851947748305,104.67691,0.16720085,17,15041.004681296838,9.999998770954656e-08,1297.6923872830844,0.0004549960339143218,0.010943133887221103,0.008474820061248846
19,2M19273391+3934517,2053362261510080768,34.389808322612225,0.04697304441339454,0.0009973175448535925,3.787410308293996e-06,0.878640391009156,2.0793599283416544,-4.498903042741759,57.95783,0.34510323,21,2241.9317739784983,0.001400870337345747,406.23942386327593,0.007043663271940335,0.006271901420917517,0.004589812573935146
20,2M09402896+5551172,1022126285722133248,18.0087383327741,0.046304454669978706,4.921150426815872e-05,0.0006351478703599232,0.7993576449768298,0.7924836569455427,-2.909810984827096e-06,61.16695,0.57167584,47,2399.885363619833,0.0012407955198350834,375.5275389192718,-0.0048173026804140765,-0.011047852872848216,0.002048913451447765
21,2M09253001+2851124,695496634202529536,12.194393736632264,0.04056560543550044,0.00216190085783794,0.0006935237303706571,0.967581222254028,0.9724648847475734,-1.067194321304021,174.60577,0.15544617,15,1849.3635952889922,0.004459218158831808,421.0698679530286,0.0014255554338884512,0.0048687572131472035,0.002480431071957008
22,2M19303351+3854503,2053087619817933952,47.414987978964746,0.07855667533784344,0.0003548340279682313,7.315370092922392e-05,0.7123625172403888,1.0635175646667885,-2.9273878320333258,75.26524,0.2777601,25,2216.491892561339,0.0007873287541990795,400.5461120047496,0.0005082727077292115,-0.0043201324786048215,-0.0027969646676549898
23,2M14455682+4639248,1590114957336579328,43.79297863569832,0.06969203831676059,0.0017421109122344944,5.569152051455013e-05,0.8076439761873742,-1.8751866731987892,2.8381111991304757,117.92857,0.200383,21,2018.622859522271,0.00354467121463213,598.6260743580162,0.004471268349558081,0.006166173754137457,0.006503319780378405
24,2M12221773+0023436,3699735067008606720,13.090386603459592,0.08307738230892942,0.0005017133611965125,0.00018691725740711563,0.9119127204784664,-1.4075700443036536,1.9235039796308235,97.89033,0.28935975,30,1972.2720145354574,0.001507804546801035,770.6687001273352,0.0005566178854157241,0.0032114111749866384,0.0031217679074549247
25,2M11451349+2807241,4018260527557502336,26.410273700480047,0.06876195155986195,0.0004126668312839298,5.080378423835858e-05,0.8965734183759392,-1.3362871902150735,-0.37157073856819767,82.272644,0.3649955,7,2238.1791459980373,0.0006776791203166906,530.5219693076301,-0.0030600703450906325,-0.008540829833257473,-0.008085897659603934
26,2M12215640+1450396,3945178085603979648,23.485443767277047,0.07540104185175038,0.0012971904422302914,0.0009400084917886222,0.7703600143511219,-0.40342117019616924,0.007214567753541009,137.91798,0.23806646,17,2031.4234334946987,0.0017581297155708907,675.6139364509231,0.002008164238131746,0.0016216226163534167,0.0012026748544435096
27,2M21332827+1127018,1742835541886438912,44.90548791724359,0.0648110825232549,0.000207702980156409,0.00019888856924093833,0.9673876836373037,-3.922289056784475,4.431619523266056,52.54151,0.41470692,11,2488.8145339085722,0.000902805357968368,615.3719559520284,0.002125025438609825,-0.014415102176422548,-0.0033537927346845835
28,2M03324951+3014148,121053004698609920,18.376571049425365,0.020830487171830548,5.32161104197903e-06,2.2672477118354708e-05,0.7969155460505242,-0.8580395377978629,0.00020982987436485626,70.4246,0.28463238,11,2432.637746313659,4.798850731919964e-05,302.1846950207664,0.004703659018096753,0.008399340869066931,0.001216447871925628
29,2M18591344+4353427,2105844700280190720,0.7874077201408909,0.024440244601229903,0.0005013865886244976,0.0005082012637536278,0.9969522987152583,-0.19002676100313434,-0.0544395188121866,88.28119,0.29475632,19,2116.222129581536,0.0005165316721714934,357.0474044621327,-0.002372897260224316,-0.0065343218319204345,-0.0028447156212601365
30,2M13323094+3602069,1471958448518765696,132.55345352377935,0.22810456892917327,0.00018853869432756135,0.00013709341570509383,0.9426995588469915,-3.009872415634327,3.9159552610367854,622.25024,0.122608654,54,1509.5296179486222,0.00019540575027739336,5521.773073342829,0.002039566556552735,0.004808828098288767,0.003106156979628274
31,2M16202456+5058425,1424443740718913536,40.01635077010906,0.060135717671979644,4.138856908685907e-06,1.7842916400767837e-05,0.662064395028867,-2.1627379338903356,-0.7662853831718087,52.069073,0.6027817,24,2253.6695326565696,5.709524656865438e-06,390.1850876645776,-0.0072487940364990774,-0.001292224588198087,-0.00624588810837074
32,2M12480322-0732565,3675789112504083200,23.598434787405722,0.035380054766106325,0.0008170832990511651,0.0005869106442806344,0.8331408919961942,1.1278537821417403,-3.5411590414727367,95.51347,0.24075149,35,1969.5423839044906,0.0014890522219345957,300.02700243279816,-0.002886676382635959,0.001984676722204555,-0.0009603007434623871
33,2M02000419-0309530,2504602280218188416,78.27949322811355,0.16590020742235914,0.0007168818324519179,1.0001136681266306e-07,0.5949998511823892,0.7807660387879193,71.25574099799664,50.214046,0.5841926,12,2597.928148359076,0.00011438341017761981,408.83127703472564,-0.002779852573343999,-0.010810282260662996,-0.004702909077521989
34,2M00075016+0007479,2545911550549266944,20.20550144523486,0.05542575260061061,0.0012101111000682391,0.002431089355572399,0.9730066590437073,4.372392188278809,-3.7710312399970047,125.37929,0.30981505,8,2088.189668510395,0.0014022183654222673,869.0886624853189,0.007142570131570265,0.0074212507884824,0.005185169313435212
35,2M15044485+2155196,1261897404866635648,8.308920162224695,-0.015143851321133764,0.0007512795563571547,0.0001490513644056838,0.8690521881374385,4.137667151045091,-4.5155027787508315,50.699936,0.65037125,15,2340.050512839198,2.867995246375133e-05,387.52341084296137,-0.0024336642826371184,-0.013239074950296421,-0.005191368458594424
36,2M11505496+5615135,842011162807714304,47.287849871012895,0.09760588511624724,2.6915211751268743e-06,3.3142213530555677e-06,0.8758497265788567,2.2396818628863326,-0.27592565524146084,74.37009,0.3221842,33,2224.612786283306,4.170435199980909e-05,422.3695464069549,0.0009505981727655469,0.005767375003018896,0.00023901246330466894
37,2M11594136+1747100,3926687735998511744,2781.504917039632,0.4858956589785106,0.00011223641804982913,1.0000961927000451e-07,0.991325330505998,-0.43058466421488634,1.5777600446644782,50.783325,0.42217034,25,5004.90029591213,1.0000001941472833e-07,910.1783171168089,0.006303405979711393,0.02687503724325941,0.0163641886235189
38,2M13135409+1552590,3744564252016148480,32.52866987508287,0.06510446511616172,7.029634137242851e-05,2.9990559959117366e-05,0.8262538745933163,1.4596739767110227,-1.720854823590716,57.829426,0.4460976,28,2250.138247420979,0.00037654940148510043,436.5701129859975,0.009951359416092867,0.000997596551120912,0.003882649386319766
39,2M12284787+1305165,3907980954400766464,60.01269328643707,0.05108489645935052,0.0008073002206103447,0.000628973886157651,0.623617488491078,-0.6181901240118173,3.4495385370695235,124.92554,0.21867098,12,2041.7412686033838,0.0025678598309259028,299.08472823338934,0.0007477722754147623,0.0012803841454584815,-0.0008695252540306896
40,2M11000286+1210278,3871647180343836928,45.279669438625206,0.07837652138690299,0.0004367381912884973,6.703940078969517e-06,0.8329427517176774,4.527361290422191,-4.801470323936018,69.87761,0.28937826,10,2517.4639182152246,0.0010042886865811364,364.4771796769177,-0.0022799095996665682,0.0031888471941957956,0.0015972622593458166
41,2M10323843+3959348,756213865310233216,20.79148408865467,0.06974826428734776,0.00020313378100870284,1.474678785094234e-06,0.6319069177527002,0.7917351306450313,-6.441566443320059,57.9161,0.41206968,29,2172.7745584777717,0.0006585959764744669,281.8010435779696,0.0008562592488745466,-0.005176869521788957,0.0006859962974438424
42,2M13074175-0343114,3684080151732077312,29.925117905344905,0.053919387710469065,0.0007105435942776505,0.0009597958109585749,0.9152657799452663,5.255978686835562,-6.642707902232378,114.06173,0.3815465,20,1890.6307879208614,0.0009270595432204011,257.0332668769207,-0.0022403513593677563,-0.0012071116545350608,-0.0008794020290836015
43,2M13114936+1818373,3938038269411303296,49.26220367304995,0.07880062085974797,0.00012134239194525481,3.598688803323146e-05,0.8442843314649018,-3.101233316497976,6.95263839072086,50.71562,0.38176754,23,2472.3502167946444,0.0007597999547123134,365.2737995844047,0.0031126069211740376,0.0020910559292768864,0.0034205537070419144
44,2M13241857+1356055,3743161069021186432,20.865620227324825,0.08248528242876607,0.0002005823083086042,0.0003586144329019734,0.9558069362823827,1.3474164034780967,-0.6697276422265033,137.502,0.25902444,16,1810.0941391342951,0.0017509301328452345,317.15506458053096,0.00017847846153993882,-0.00032277114457631806,-0.004342071272884021
45,2M11405374-1521522,3548535588075943296,17.902515042601863,0.06842016137554745,0.0011561573597819418,0.0007753782912963129,0.9294037334799516,-0.6118223244390802,1.357604371685498,192.11032,0.19290888,22,1803.812707276276,0.0011718378706544214,782.4532315627903,0.0031444840577260283,0.002311802580719916,0.0016282680826538117
46,2M19330994+3806262,2052236773922878336,18.65574266967451,0.027791090505301163,0.0016927958233036626,0.0001362231584320446,0.689839547040973,-0.3381880371820728,2.7806748589809107,87.37501,0.26165456,21,2113.691468025022,0.002021331365411057,436.0318407178408,0.0012808501296194801,0.0020177179418418706,0.005239233472816492
47,2M16160351+5013520,1424300357530387072,19.697500184770433,0.06609306455139571,0.0002765349397330254,0.00011178025370712816,0.9418154306270176,2.578210185036428,-2.1269799680343673,70.36268,0.2480134,22,2122.1906710386083,0.0004704199162189072,284.9345271971172,0.0024964139202057244,-0.0021200867492291047,-0.00206853778595485
